 # E_nu [MeV]:   10.079454858851342     
# r[cm] rho[g/cm^3] T[MeV] Ye mu_e[MeV] mu_hat[MeV] Yp Yn 1/l_nue[1/cm] 1/l_anue[1/cm]
547000 3.73e+14 12.04 0.3134 249.51 60.156 0.3134 0.6866 2.59503e-12 4.07029e-06
702300 3.338e+14 11.91 0.3073 238.75 58.583 0.3073 0.6927 4.7723e-12 4.0671e-06
815800 3e+14 11.86 0.302 228.93 56.912 0.302 0.698 9.31522e-12 4.23931e-06
907300 2.687e+14 11.81 0.2967 219.2 55.165 0.2967 0.7033 1.80876e-11 4.4343e-06
985000 2.352e+14 13.18 0.289 207.12 61.669 0.083072 0.24454 9.79241e-11 1.52909e-06
1.056e+06 1.928e+14 17.21 0.2771 188.62 56.143 0.22296 0.60881 1.87508e-08 1.27241e-05
1.14e+06 1.207e+14 27.95 0.2629 147.01 63.438 0.24087 0.70754 3.50371e-06 2.77743e-05
1.255e+06 7.221e+13 36.17 0.2457 102.73 69.171 0.23785 0.74591 2.29595e-05 2.61127e-05
1.392e+06 5.581e+13 37.08 0.2172 81.435 74.503 0.2128 0.77821 3.44554e-05 1.92919e-05
1.526e+06 5.343e+13 33.76 0.1723 74.434 83.014 0.16884 0.82395 3.68727e-05 1.29569e-05
1.64e+06 5.672e+13 28.58 0.1297 73.847 88.849 0.12654 0.8665 3.19575e-05 7.98197e-06
1.738e+06 5.792e+13 23.92 0.1044 73.85 87.771 0.1013 0.89133 2.31188e-05 4.9832e-06
1.825e+06 5.452e+13 20.54 0.0908 71.947 82.903 0.087683 0.90447 1.62495e-05 3.37276e-06
1.903e+06 4.892e+13 17.92 0.08068 68.33 77.346 0.077564 0.91426 1.19449e-05 2.3468e-06
1.969e+06 4.396e+13 15.53 0.07042 64.395 72.044 0.067293 0.9241 8.72415e-06 1.5649e-06
2.026e+06 3.88e+13 13.57 0.06239 60.242 66.755 0.05916 0.93162 6.5229e-06 1.06309e-06
2.076e+06 3.274e+13 12.14 0.06 56.894 60.704 0.05644 0.93334 4.78389e-06 8.32384e-07
2.123e+06 2.61e+13 11.25 0.06 52.748 55.252 0.056324 0.93346 4.09461e-06 7.26204e-07
2.169e+06 1.985e+13 10.8 0.06 47.491 50.874 0.056805 0.93491 4.31674e-06 6.76105e-07
2.219e+06 1.477e+13 10.6 0.06 41.945 47.287 0.057462 0.93646 5.00721e-06 6.46119e-07
2.271e+06 1.143e+13 10.21 0.06054 37.99 43.715 0.058303 0.9366 5.03519e-06 5.98067e-07
2.322e+06 9.467e+12 9.323 0.06 35.914 39.934 0.057575 0.93695 4.07794e-06 4.96025e-07
2.372e+06 7.666e+12 8.604 0.06 33.592 36.471 0.057435 0.93687 3.46169e-06 4.20676e-07
2.42e+06 6.27e+12 7.892 0.06 31.626 33.282 0.057169 0.93661 2.87501e-06 3.52169e-07
2.466e+06 5.073e+12 7.318 0.06 29.518 30.494 0.056983 0.93649 2.52282e-06 3.00049e-07
2.511e+06 4.093e+12 6.831 0.06 27.466 28.024 0.056848 0.93643 2.28271e-06 2.58608e-07
2.555e+06 3.28e+12 6.456 0.06 25.355 25.907 0.056823 0.9365 2.17663e-06 2.27031e-07
2.597e+06 2.617e+12 6.161 0.06 23.274 24.049 0.056933 0.9367 2.14149e-06 2.0245e-07
2.639e+06 2.084e+12 5.939 0.06001 21.244 22.454 0.057196 0.93703 2.15483e-06 1.82602e-07
2.681e+06 1.651e+12 5.789 0.06001 19.227 21.078 0.057667 0.93757 2.19977e-06 1.66697e-07
2.724e+06 1.299e+12 5.703 0.06 17.187 19.953 0.058187 0.93815 2.25033e-06 1.51466e-07
2.767e+06 1.019e+12 5.618 0.06502 15.906 18.457 0.063428 0.93337 2.04618e-06 1.46223e-07
2.811e+06 7.948e+11 5.584 0.07362 14.94 16.883 0.072286 0.92504 1.77249e-06 1.46695e-07
2.857e+06 6.182e+11 5.581 0.08301 13.902 15.531 0.082001 0.91598 1.53784e-06 1.4354e-07
2.906e+06 4.772e+11 5.62 0.0953 12.905 14.25 0.094607 0.90401 1.30568e-06 1.39756e-07
2.957e+06 3.665e+11 5.661 0.1127 12.116 12.857 0.11223 0.88683 1.06504e-06 1.36876e-07
3.013e+06 2.798e+11 5.743 0.1322 11.171 11.645 0.13193 0.86754 8.68386e-07 1.29973e-07
3.074e+06 2.105e+11 5.855 0.1579 10.209 10.384 0.15775 0.84195 6.86424e-07 1.21698e-07
3.142e+06 1.565e+11 5.977 0.1901 9.2352 9.0498 0.19002 0.80982 5.26963e-07 1.12002e-07
3.221e+06 1.157e+11 6.068 0.2232 8.1626 7.8193 0.22316 0.77676 4.00677e-07 9.86389e-08
3.313e+06 8.423e+10 6.138 0.2608 7.0839 6.5477 0.26078 0.73918 2.95486e-07 8.44334e-08
3.424e+06 6.067e+10 6.147 0.3003 6.0543 5.2875 0.30029 0.69969 2.12849e-07 7.00509e-08
3.559e+06 4.37e+10 6.079 0.3299 5.0378 4.3593 0.3299 0.6701 1.54618e-07 5.52109e-08
3.725e+06 3.141e+10 5.93 0.3603 4.2285 3.4311 0.3603 0.6397 1.10671e-07 4.3279e-08
3.931e+06 2.253e+10 5.714 0.389 3.5646 2.5901 0.389 0.611 7.87399e-08 3.35871e-08
4.185e+06 1.629e+10 5.442 0.4068 3.003 2.0554 0.4068 0.5932 5.72187e-08 2.54935e-08
4.498e+06 1.182e+10 5.137 0.4198 2.5375 1.6606 0.4198 0.5802 4.1919e-08 1.92151e-08
4.877e+06 8.66e+09 4.801 0.4392 2.2293 1.1682 0.4392 0.5608 3.05585e-08 1.49126e-08
5.32e+06 6.553e+09 4.445 0.4517 2.0294 0.85587 0.4517 0.5483 2.31914e-08 1.17701e-08
5.826e+06 4.995e+09 4.094 0.4664 1.8839 0.54488 0.4664 0.5336 1.76569e-08 9.43006e-09
6.379e+06 3.909e+09 3.756 0.478 1.7938 0.32431 0.478 0.522 1.38879e-08 7.72838e-09
6.957e+06 3.119e+09 3.444 0.487 1.7312 0.17274 0.487 0.513 1.12521e-08 6.46566e-09
7.53e+06 2.551e+09 3.163 0.4936 1.6968 0.074781 0.4936 0.5064 9.61201e-09 5.65568e-09
8.068e+06 2.137e+09 2.917 0.4971 1.6765 0.027966 0.4971 0.5029 9.02892e-09 5.37658e-09
8.547e+06 1.832e+09 2.71 0.4985 1.6606 0.010742 0.4985 0.5015 9.73363e-09 5.81944e-09
8.951e+06 1.61e+09 2.544 0.4987 1.6513 0.0080404 0.49869 0.50129 9.34751e-09 5.58657e-09
9.275e+06 1.45e+09 2.412 0.4977 1.6465 0.017313 0.49769 0.50229 6.59834e-09 3.92442e-09
9.526e+06 1.334e+09 2.312 0.4969 1.6389 0.024009 0.49689 0.50309 5.6806e-09 3.3656e-09
9.713e+06 1.252e+09 2.237 0.496 1.6361 0.031325 0.49598 0.50398 5.12071e-09 3.02163e-09
9.849e+06 1.197e+09 2.183 0.4953 1.6377 0.036716 0.49527 0.50467 4.80232e-09 2.82505e-09
9.945e+06 1.155e+09 2.142 0.4948 1.6354 0.040322 0.49476 0.50516 4.58954e-09 2.69387e-09
1.002e+07 1e+09 2.025 0.4943 1.5811 0.042192 0.49422 0.50562 3.94965e-09 2.31149e-09
1.009e+07 7.251e+08 1.755 0.494 1.5089 0.03869 0.49364 0.50564 2.86315e-09 1.67165e-09
1.018e+07 5.013e+08 1.401 0.4936 1.5685 0.035082 0.47128 0.48408 1.86668e-09 1.08607e-09
1.028e+07 3.38e+08 1.103 0.4933 1.5986 0.058718 0.24985 0.26326 6.2947e-10 3.55972e-10
1.043e+07 2.281e+08 0.9347 0.4932 1.4695 0.13254 0.10011 0.11371 1.6896e-10 8.74459e-11
1.066e+07 1.596e+08 0.8191 0.4931 1.3333 0.27558 0.036617 0.04996 5.36739e-11 2.28656e-11
1.101e+07 1.232e+08 0.7268 0.4933 1.2763 -0.10252 0.015842 0.018833 -1.75155e-11 -1.20286e-11
1.151e+07 1.088e+08 0.7087 0.4934 1.2076 -0.25597 0.014689 0.013304 2.49426e-12 2.1347e-12
1.218e+07 1.014e+08 0.6989 0.4936 1.1701 -0.28823 0.013509 0.010243 4.67178e-12 4.20845e-12
1.307e+07 9.243e+07 0.6858 0.4939 1.1227 -0.41995 0.012848 0.0079595 3.85152e-12 4.23747e-12
1.42e+07 8.261e+07 0.6693 0.4942 1.0687 -0.80082 0.014275 0.0071794 1.82837e-12 3.60773e-12
1.561e+07 7.257e+07 0.6495 0.4946 1.0125 -1.2951 0.016022 0.0048497 9.2015e-13 4.03064e-12
1.734e+07 6.272e+07 0.6267 0.4949 0.95536 -1.8285 0.017329 0.0010474 4.20235e-13 4.63609e-12
1.943e+07 5.349e+07 0.6014 0.4953 0.89843 -2.3808 0.018922 0.00080687 1.35767e-13 4.24225e-12
2.193e+07 4.513e+07 0.5743 0.4957 0.84486 -3.1035 0.021924 0.00010084 3.20483e-14 4.24868e-12
2.488e+07 3.775e+07 0.5463 0.4961 0.7931 -3.6137 0.021375 6.6719e-05 7.7737e-15 3.45908e-12
2.833e+07 3.139e+07 0.5181 0.4964 0.74538 -4.1721 0.021048 8.4481e-06 1.51393e-15 2.83713e-12
3.237e+07 2.598e+07 0.4904 0.4968 0.70067 -4.6329 0.018751 3.969e-06 2.76773e-16 2.09179e-12
3.707e+07 2.143e+07 0.4635 0.4971 0.65888 -5.0307 0.015832 5.4569e-07 4.723e-17 1.45702e-12
